Date,"Active Calories" (kcal),"Blood Oxygen" (%),"Body Fat" (%),"Body Mass Index","Heart Rate" (bpm),"Heart Rate Variability" (ms),"Resting Calories" (kcal),"Resting Heart Rate" (bpm),"Sleep","Walking Heart Rate" (bpm),"Weight" (lb)
"1/20/26","1,212","97","-","-","68-169","10.79-37.56","2,329","86","-","126","-"
"1/21/26","28","96","-","-","84-106","14.29","2,100","-","-","-","-"
"1/22/26","406","95-98","-","-","59-137","22.3-65.32","2,361","70","-","101.5","-"
"1/23/26","27","96","-","-","68-87.25","28.78-46.48","2,092","-","-","-","-"
"1/24/26","342","94-98","-","-","56-115","33.24-90.2","2,316","68","6h 47m","102","-"
"1/25/26","148","94-100","-","-","55-127","19.17-109.98","2,160","58","7h 15m","124","-"
"1/26/26","410","94-98","-","-","57-118","24.04-114.55","2,356","68","6h 37m","113.5","-"
"1/27/26","105","94-97","-","-","52-101","33.86-100.35","2,151","64","7h 52m","-","-"
"1/28/26","1,141","93-97","-","-","58-166","18.94-59.6","2,283","63","5h 40m","118","-"
"1/29/26","890","95-98","-","-","51-171","37.93-100.52","2,340","63","7h 49m","113","-"
"1/30/26","1,175","91-97","-","-","58-158","21.8-72.51","2,326","63","8h 23m","102","-"
"1/31/26","286","91-100","-","-","52-103","29.25-118.63","2,283","63","7h 42m","99","-"
"2/1/26","260","88-95","25","29.7","63-126","52.48-136.76","2,230","64","-","102.5","219.6"
"2/2/26","316","91-98","-","-","52-123","28.3-65.19","2,292","59","6h 32m","111","-"
"2/3/26","289","91-98","25","29.7","52-108","39.47-112.29","2,309","65","7h 8m","103.5","219.6"
"2/4/26","760","91-100","-","-","52-162","30.78-98.71","2,227","59","10h 16m","132.5","-"
"2/5/26","177","-","-","-","71-97","40.39-80.51","2,211","74","-","-","-"
"2/6/26","99","97","-","-","66-107","57.85-60.08","2,136","67","-","107","-"
"2/7/26","42","-","-","-","93-114","19.27-20.18","2,100","99","-","-","-"
"2/8/26","230","94-98","-","-","63-126","36.51-141.02","2,222","72","-","108","-"
"2/9/26","111","92-98","-","-","54-106","39.21-106.35","2,153","75","7h 7m","106","-"
"2/10/26","151","93-99","-","-","55-99","34.17-85.95","2,174","62","7h 5m","91","-"
"2/11/26","120","89-96","-","-","56-95","28.09-98.76","2,171","59","5h 10m","-","-"
"2/12/26","1,400","94-98","-","-","57-164","25.47-105.67","2,343","76","5h 41m","119.5","-"
"2/13/26","62","89-95","-","-","59-99.4","14.04-60.02","2,111","66","10h 53m","-","-"
"2/14/26","263","93-98","-","-","53-138","21.36-137.6","2,203","63","6h 34m","124","-"
"2/15/26","545","97","-","-","69-122","36.34-89.01","2,325","71","-","98","-"
"2/16/26","211","91-99","25.1","30","57-120","27.18-53.21","2,186","65","6h 39m","105","221.3"
"2/17/26","1,410","96","-","-","84-183","25.11-30.14","2,282","84","-","141","-"
"2/18/26","422","91-96","-","-","60-147","17-65.8","2,290","84","8h 1m","127","-"
"2/19/26","809","91-97","-","-","53-171","32.12-68.45","2,299","66","3h 57m","112","-"
"2/20/26","56","92-99","-","-","54-86","25.23-139.88","1,005","61","7h 53m","-","-"
